"THE_TE_UID_1","THE_TE_UID_2"
88548,79101
88688,79101
88506,78897
79038,109033
85632,79132
83874,78929
83213,109173
83111,79101
84285,79101
79232,109273
109274,83086
79068,79069
78917,87165
79088,79086
79111,79086
79112,78889
79113,79086
79048,79032
78923,79032
78931,78930
78934,78906
78990,82915
79005,79121
83103,78958
84257,87450
84257,84146
86342,86416
90110,79181
83818,111773
79020,111793
79182,111794
79190,78961
143380,142093
143381,142093
83548,78905
78953,118633
139613,97131
140159,139812
140160,139805
141332,141331
141333,141331
160447,142093
167776,167843
