"CLASSI_UID","TERM","CLA_GR_UID","STATUS","DESCRIPTION"
5152,"AGRICULTURAL REQUIREMENTS",556,"P",
5153,"ANIMAL BURROWING",556,"P",
5154,"ARABLE CLIPPING",556,"P",
5155,"BURIAL",556,"P",
5156,"ARABLE PLOUGHING",556,"P",
5157,"COASTAL EROSION",556,"P",
5158,"COLLAPSE",556,"P",
5159,"DETERIORATION",556,"P",
5160,"DEVELOPMENT",556,"P",
5161,"DIGGING",556,"P",
5162,"DRAINAGE",556,"P",
5163,"DRYING OUT",556,"P",
5164,"DUMPING",556,"P",
5165,"FIRE",556,"P",
5166,"FLOODING",556,"P",
5167,"FORESTRY",556,"P",
5168,"GARDENING",556,"P",
5169,"LIVESTOCK EROSION",556,"P",
5170,"MACHINERY DAMAGE",556,"P",
5171,"METAL DETECTING",556,"P",
5172,"MINERAL EXTRACTION",556,"P",
5173,"NATURAL EROSION",556,"P",
5174,"NO KNOWN THREAT",556,"P",
5175,"OTHER",556,"P",
5176,"PLANT GROWTH",556,"P",
5177,"PUBLIC DANGER",556,"P",
5178,"PUBLIC UTILITIES",556,"P",
5179,"QUARRYING",556,"P",
5180,"RAIN ENTRY",556,"P",
5181,"RELOCATION",556,"P",
5182,"INAPPROPRIATE RESTORATION",556,"P",
5183,"RIVERBANK EROSION",556,"P",
5184,"ROAD CONSTRUCTION",556,"P",
5185,"ROT",556,"P",
5186,"SCRUB GROWTH",556,"P",
5187,"SOIL MOVEMENT",556,"P",
5188,"SUBSIDENCE",556,"P",
5189,"THEFT",556,"P",
5190,"VANDALISM",556,"P",
5191,"VEHICLE EROSION",556,"P",
5192,"VISITOR EROSION",556,"P",
